delivery_id,driver_no,delivery_distance_meters,delivery_status,order_id,channel_id,payment_status,shipping_weight,Warehouse_block,Warehouse_city,place_of_dispatch,place_of_loading,place_of_discharge,post_place_of_discharge,place_of_dispatch_date,place_of_loading_date,place_of_discharge_date,post_place_of_discharge_date,predicted_delivered_date,last_tracked_with_vessel
2174658,8378,5199,DELIVERED,d792cb16214,5,PAID,1233,D,New York,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,19/05/2021,17/07/2021,15/07/2021,03/08/2021,03/08/2021
2174660,2473,410,DELIVERED,0d7a144bdd3,5,PAID,3088,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/05/2021,19/05/2021,23/07/2021,21/07/2021,09/08/2021,26/07/2021
2174661,7615,3784,DELIVERED,57da4fc703e,5,PAID,3374,A,Birmingham,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",11/04/2021,17/04/2021,05/05/2021,07/06/2021,11/06/2021,20/06/2021
2174663,8378,5714,DELIVERED,1b038114c75,5,PAID,1177,B,San Jose,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",19/05/2021,20/05/2021,15/07/2021,12/07/2021,19/07/2021,24/08/2021
2174675,10463,3746,DELIVERED,bb4e55b4fd9,5,PAID,2484,C,Boston,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",18/05/2021,24/05/2021,11/06/2021,22/06/2021,26/06/2021,26/06/2021
2174680,16430,3924,DELIVERED,2a0634bc1ea,5,PAID,1417,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",21/05/2021,05/06/2021,24/06/2021,09/07/2021,13/07/2021,30/07/2021
2174693,14513,2489,DELIVERED,cb819fb4a32,5,PAID,2371,D,New York,"Zhuhai, Guangdong Sheng, China","Zhuhai, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",02/04/2021,02/04/2021,01/05/2021,01/06/2021,05/06/2021,30/07/2021
2174695,,2564,CANCELLED,288c5617fa6,35,PAID,2804,F,San Jose,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Ferris, Texas, United States",27/07/2020,04/08/2020,23/08/2020,04/09/2020,08/09/2020,21/04/2021
2174696,9996,340,DELIVERED,b08b904576c,35,PAID,1861,A,Birmingham,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",01/04/2021,07/04/2021,23/04/2021,26/04/2021,10/05/2021,21/04/2021
2174697,23092,1081,DELIVERED,1e1fb923495,5,PAID,1187,B,San Jose,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",10/04/2020,12/04/2020,30/04/2020,07/05/2020,11/05/2020,21/04/2021
2174699,9996,2880,DELIVERED,a52dc8a4af1,5,PAID,2888,C,Boston,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",02/04/2021,07/04/2021,27/04/2021,17/05/2021,21/05/2021,26/05/2021
2174705,9996,1450,DELIVERED,9470734ebd5,5,PAID,3253,F,San Jose,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",31/03/2021,05/04/2021,18/05/2021,25/05/2021,29/05/2021,17/09/2021
2174707,25575,1699,DELIVERED,2c340bf65a7,5,PAID,3667,D,New York,"Edmonton, Alberta, Canada","Vancouver, British Columbia, Canada","Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China",10/01/2020,18/01/2020,25/02/2020,18/03/2020,18/03/2020,21/04/2021
2174708,9996,1450,DELIVERED,b17cd7d8719,5,PAID,3611,F,San Jose,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",12/03/2021,20/03/2021,19/05/2021,25/05/2021,25/05/2021,24/05/2021
2174712,9392,5951,DELIVERED,65bf7b182ae,5,PAID,2707,A,Birmingham,,"San Antonio, Region de Valparaiso, Chile","Rotterdam, Provincie Zuid-Holland, Netherlands",,19/05/2019,19/05/2019,11/06/2019,,,21/04/2021
2174713,15156,2353,DELIVERED,84483a5d643,5,PAID,1194,B,San Jose,,"Antwerpen, Flanders, Belgium","Stavanger, Rogaland Fylke, Norway","Stavanger, Rogaland Fylke, Norway",17/10/2021,17/10/2021,04/11/2021,,,01/12/2021
2174715,29669,1014,DELIVERED,0584c5a2ded,5,PAID,3952,C,Boston,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",11/04/2021,21/04/2021,11/05/2021,03/06/2021,07/06/2021,15/06/2021
2174720,10514,5796,DELIVERED,b4b83257986,5,PAID,2495,F,San Jose,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States",,06/03/2021,07/03/2021,01/04/2021,,18/04/2021,21/04/2021
2174724,7396,4425,DELIVERED,0be9558292e,5,PAID,1059,D,New York,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",05/02/2021,09/02/2021,01/03/2021,12/03/2021,16/03/2021,21/04/2021
2174729,14702,2007,DELIVERED,30573b99628,5,PAID,1521,F,San Jose,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",21/03/2021,26/03/2021,10/05/2021,24/05/2021,24/05/2021,24/05/2021
2174733,26154,5385,DELIVERED,1f84030f90d,5,PAID,2899,A,Birmingham,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",15/01/2021,21/01/2021,10/02/2021,22/02/2021,26/02/2021,21/04/2021
2174734,26154,3854,DELIVERED,b12dce9a18a,5,PAID,1750,B,San Jose,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Charleston, South Carolina, United States",,06/03/2021,09/03/2021,20/04/2021,,07/05/2021,21/04/2021
