payment_order_id,height_of_package,width_of_package,length_of_package,payment_fee,payment_method,payment_status,shipping_weight,Warehouse_block,Warehouse_city,order_date
68405119,2459,2302,2994,0,VOUCHER,PAID,1233,D,New York,27/05/2021
68405123,990,2905,2937,7.9,ONLINE,PAID,3088,F,San Jose,27/05/2021
68405206,476,2597,1262,5.59,ONLINE,PAID,3374,A,Birmingham,20/04/2021
68405465,1968,621,1511,1.59,ONLINE,PAID,1177,B,San Jose,28/05/2021
68406064,891,903,2783,0.92,ONLINE,PAID,2484,C,Boston,27/05/2021
68408108,569,1792,1050,2.88,ONLINE,PAID,1417,F,San Jose,30/05/2021
68408109,348,1385,1302,1.56,ONLINE,PAID,2371,D,New York,11/04/2021
68409030,2415,500,1668,0.4,ONLINE,PAID,2804,F,San Jose,05/08/2020
68410055,2304,772,2463,3.12,ONLINE,PAID,1861,A,Birmingham,10/04/2021
68412121,2471,106,876,5.38,ONLINE,PAID,1187,B,San Jose,19/04/2020
68412122,1820,870,2927,2.57,ONLINE,PAID,2888,C,Boston,11/04/2021
68412123,2346,2883,748,4.01,ONLINE,PAID,3253,F,San Jose,09/04/2021
68412131,2797,1462,2294,4.6,ONLINE,PAID,3667,D,New York,19/01/2020
68412134,748,1028,1929,0.3,ONLINE,PAID,3611,F,San Jose,21/03/2021
68412148,426,71,1710,0,VOUCHER,PAID,2707,A,Birmingham,28/05/2019
68412322,2642,2708,2669,0.52,ONLINE,PAID,1194,B,San Jose,26/10/2021
68412444,1016,603,1353,4.73,ONLINE,PAID,3952,C,Boston,20/04/2021
68412721,731,2940,2195,0.63,ONLINE,PAID,2495,F,San Jose,15/03/2021
68413340,539,1399,1516,0.52,ONLINE,PAID,1059,D,New York,14/02/2021
68414018,620,222,875,0.7,ONLINE,PAID,1521,F,San Jose,30/03/2021
68414309,96,66,57,0.58,ONLINE,PAID,2899,A,Birmingham,24/01/2021
68414512,128,228,242,0.7,ONLINE,PAID,1750,B,San Jose,15/03/2021
68414563,232,56,229,0.63,ONLINE,PAID,3922,C,Boston,31/05/2020
68414907,283,48,238,0.56,ONLINE,PAID,3561,F,San Jose,06/04/2021
68415103,171,32,69,0.65,ONLINE,PAID,3496,D,New York,09/02/2021
68415140,47,251,111,1.09,ONLINE,PAID,1066,F,San Jose,31/05/2020
68415344,287,116,166,0,VOUCHER,PAID,1435,A,Birmingham,12/03/2021
68415457,73,244,37,0.62,ONLINE,PAID,3134,B,San Jose,08/02/2021
68415474,120,82,100,2.05,ONLINE,PAID,3819,C,Boston,24/03/2021
68415543,193,143,260,0.96,ONLINE,PAID,2741,F,San Jose,18/04/2021
68415947,64,77,207,5.87,ONLINE,PAID,3341,D,New York,12/03/2021
68416059,79,70,120,1.18,ONLINE,PAID,9516,F,San Jose,21/05/2021
68416226,17,55,162,2.68,ONLINE,PAID,1811,A,Birmingham,31/01/2021
68416227,241,155,120,1.28,ONLINE,PAID,1477,B,San Jose,25/04/2021
68416230,210,53,170,3.03,ONLINE,PAID,3605,C,Boston,13/04/2021
68416339,121,83,135,0,VOUCHER,PAID,3905,F,San Jose,04/05/2021
68416397,11,125,300,0.5,ONLINE,PAID,2383,D,New York,16/05/2021
68416643,264,55,82,0,VOUCHER,PAID,3798,F,San Jose,25/03/2021
68417189,157,251,221,5.46,ONLINE,PAID,1265,A,Birmingham,27/05/2021
68417307,251,161,123,4.51,ONLINE,PAID,4531,B,San Jose,26/04/2021
68417497,168,185,27,0.37,ONLINE,PAID,2944,C,Boston,03/04/2021
68417544,133,103,162,0,VOUCHER,PAID,1245,F,San Jose,15/05/2021
68417646,236,156,99,3.48,ONLINE,PAID,1576,D,New York,21/03/2021
68417778,266,10,140,4.55,ONLINE,PAID,5899,F,San Jose,19/06/2021
68417783,73,245,169,3.43,ONLINE,PAID,2042,A,Birmingham,16/05/2021
68417787,188,184,211,0,VOUCHER,PAID,1735,B,San Jose,26/04/2021
68417799,255,205,31,2.21,ONLINE,PAID,1320,C,Boston,20/05/2021
68418089,85,16,185,0.72,ONLINE,PAID,1128,F,San Jose,25/10/2020
68418092,297,24,159,0,VOUCHER,PAID,3539,D,New York,14/06/2021
68418430,140,147,136,0.94,ONLINE,PAID,2437,F,San Jose,28/06/2021
68418711,105,224,103,0,VOUCHER,PAID,3096,A,Birmingham,13/06/2021
68419091,275,281,285,6.66,ONLINE,PAID,3453,B,San Jose,02/05/2021
68419094,65,73,136,1.24,ONLINE,PAID,1367,C,Boston,20/04/2021
68419140,25,179,145,0.21,ONLINE,PAID,1923,F,San Jose,27/05/2021
68419146,292,157,203,0,VOUCHER,PAID,2794,D,New York,30/03/2021
68419302,80,175,157,0.54,ONLINE,PAID,1158,F,San Jose,29/07/2021
68419305,13,181,216,0.42,ONLINE,PAID,1292,A,Birmingham,19/07/2021
68419373,123,45,158,2.81,ONLINE,PAID,1880,B,San Jose,07/07/2021
68419684,241,41,180,0.78,ONLINE,PAID,3045,C,Boston,16/03/2021
68419797,94,182,293,0.37,ONLINE,PAID,2881,F,San Jose,27/04/2021
68419848,55,59,297,0,VOUCHER,PAID,1710,D,New York,05/07/2021
68420053,95,177,33,4.19,ONLINE,PAID,1878,F,San Jose,01/06/2021
68420308,137,140,274,3.82,ONLINE,PAID,2512,A,Birmingham,05/03/2021
68420589,170,246,133,4.88,ONLINE,PAID,2929,B,San Jose,11/04/2021
68420592,251,262,264,0.34,ONLINE,PAID,3849,C,Boston,21/03/2021
68420776,38,159,161,0,VOUCHER,PAID,2229,F,San Jose,15/07/2021
68420869,26,180,20,3.22,ONLINE,PAID,2998,D,New York,15/06/2021
68421071,192,228,277,1.59,ONLINE,PAID,3984,F,San Jose,27/05/2021
68421547,12,77,146,2.53,ONLINE,PAID,2442,A,Birmingham,03/10/2020
68421551,168,134,75,1.28,ONLINE,PAID,5563,B,San Jose,09/07/2021
68421917,100,210,21,2.09,ONLINE,PAID,1518,C,Boston,09/04/2021
68421987,291,179,146,0.69,ONLINE,PAID,3959,F,San Jose,27/05/2021
68422045,103,238,214,1.35,ONLINE,PAID,3711,D,New York,12/05/2021
68422076,108,296,242,3.72,ONLINE,PAID,3701,F,San Jose,04/07/2021
68422092,117,85,158,5.31,ONLINE,PAID,2875,A,Birmingham,31/05/2021
68422281,263,106,285,2.33,ONLINE,PAID,1364,B,San Jose,31/05/2021
68422614,125,37,235,7.61,ONLINE,PAID,2710,C,Boston,27/05/2021
68422671,139,215,150,1.14,ONLINE,PAID,2148,F,San Jose,27/05/2021
68422740,58,259,238,0.82,DEBIT,PAID,2910,D,New York,30/06/2021
68423110,281,44,265,4.66,ONLINE,PAID,5313,F,San Jose,27/05/2021
68423162,203,56,59,4.37,ONLINE,PAID,3880,A,Birmingham,16/05/2021
68423436,95,31,127,0.46,ONLINE,PAID,1085,B,San Jose,02/07/2021
68423588,157,110,55,0,VOUCHER,PAID,4351,C,Boston,22/04/2021
68423643,97,240,253,5.2,ONLINE,PAID,3387,F,San Jose,27/05/2021
68423762,267,264,289,1.75,ONLINE,PAID,2343,D,New York,09/07/2021
68423847,52,192,11,1.12,ONLINE,PAID,2034,F,San Jose,21/06/2021
68424216,275,30,18,5.11,ONLINE,PAID,1225,A,Birmingham,26/07/2021
68424238,66,156,88,4.36,ONLINE,PAID,2401,B,San Jose,08/11/2021
68424433,161,229,169,3.98,ONLINE,PAID,1104,C,Boston,28/10/2021
68424547,213,84,273,0,VOUCHER,PAID,1617,F,San Jose,01/11/2021
68424656,78,45,221,2.74,ONLINE,PAID,1837,D,New York,27/05/2021
68424659,22,12,183,4.19,ONLINE,PAID,5356,F,San Jose,08/06/2021
68424660,152,211,191,3.06,ONLINE,PAID,1658,A,Birmingham,04/04/2021
68424858,113,125,165,4.37,ONLINE,PAID,2255,B,San Jose,01/05/2021
68425021,103,159,273,0,VOUCHER,PAID,1588,C,Boston,12/05/2021
68425058,284,139,151,1.99,ONLINE,PAID,2624,F,San Jose,23/05/2021
68425821,77,65,14,4.2,ONLINE,PAID,2053,D,New York,03/07/2021
