order_id,customer_id,order_date,payment_order_id,quantity,online_retail_seller,order_created_hour,order_created_minute,order_created_day,order_created_month,order_created_year,payment_amount,height_of_package,width_of_package,length_of_package,payment_fee,payment_method,payment_status,shipping_weight,Warehouse_block,Warehouse_city,delivery_fee
960387648,72c00ba8bc7,27/5/2021,68405119,1,Amazon,0,1,1,1,2020,290.54,2459,2302,2994,0,VOUCHER,PAID,1233,D,New York,34.54
1188374829,b18a428ac77,27/5/2021,68405123,1,Betsy,0,4,1,1,2020,285.4,990,2905,2937,7.9,ONLINE,PAID,3088,F,San Jose,53.4
4375262147,2fdd0374a03,20/4/2021,68405206,1,Betsy,0,13,1,1,2020,266.12,476,2597,1262,5.59,ONLINE,PAID,3374,A,Birmingham,11.12
4850000000,dc6358b12c3,28/5/2021,68405465,1,Amazon,0,19,1,1,2020,196.58,1968,621,1511,1.59,ONLINE,PAID,1177,B,San Jose,11.58
4946137764,c12e35b23ad,27/5/2021,68406064,3,Amazon,0,26,1,1,2020,819.28,891,903,2783,0.92,ONLINE,PAID,2484,C,Boston,36.28
6759522741,2c82e1212b8,30/5/2021,68408108,1,Amazon,0,56,1,1,2020,168.51,569,1792,1050,2.88,ONLINE,PAID,1417,F,San Jose,17.51
8892989244,08c76c3f441,11/4/2021,68408109,1,Betsy,0,56,1,1,2020,313.78,348,1385,1302,1.56,ONLINE,PAID,2371,D,New York,16.78
9397448586,ad5aae0d407,5/8/2020,68409030,1,Betsy,1,56,1,1,2020,234.82,2415,500,1668,0.4,ONLINE,PAID,2804,F,San Jose,28.82
14151894032,2c82e1212b8,10/4/2021,68410055,1,Amazon,2,32,1,1,2020,267.9,2304,772,2463,3.12,ONLINE,PAID,1861,A,Birmingham,16.9
14958556071,43a302fa75b,19/4/2020,68412121,1,Betsy,13,57,1,1,2020,320.41,2471,106,876,5.38,ONLINE,PAID,1187,B,San Jose,49.41
18351592675,d9aea4042bb,11/4/2021,68412122,1,Betsy,13,57,1,1,2020,312.47,1820,870,2927,2.57,ONLINE,PAID,2888,C,Boston,42.47
18626554733,2d772509598,9/4/2021,68412123,1,Amazon,13,57,1,1,2020,202.24,2346,2883,748,4.01,ONLINE,PAID,3253,F,San Jose,54.24
20006229131,0d75d92f0a3,19/1/2020,68412131,3,Betsy,13,58,1,1,2020,669.88,2797,1462,2294,4.6,ONLINE,PAID,3667,D,New York,40.88
21339212730,76faec28612,21/3/2021,68412134,1,Betsy,13,58,1,1,2020,332.17,748,1028,1929,0.3,ONLINE,PAID,3611,F,San Jose,28.17
21400104334,c1c4470b753,28/5/2019,68412148,1,Betsy,14,2,1,1,2020,284.03,426,71,1710,0,VOUCHER,PAID,2707,A,Birmingham,15.03
22051388086,0d75d92f0a3,26/10/2021,68412322,1,Amazon,14,6,1,1,2020,335.92,2642,2708,2669,0.52,ONLINE,PAID,1194,B,San Jose,51.92
22173687696,7f04a7f8e98,20/4/2021,68412444,1,Betsy,14,8,1,1,2020,216.41,1016,603,1353,4.73,ONLINE,PAID,3952,C,Boston,11.41
24301992689,6992c48a9a1,15/3/2021,68412721,1,Amazon,14,12,1,1,2020,301.08,731,2940,2195,0.63,ONLINE,PAID,2495,F,San Jose,41.08
26321947143,d4613ef426f,14/2/2021,68413340,1,Amazon,14,14,1,1,2020,329.8,539,1399,1516,0.52,ONLINE,PAID,1059,D,New York,50.8
26414588301,f15456a0ee0,30/3/2021,68414018,1,Amazon,14,17,1,1,2020,300.03,620,222,875,0.7,ONLINE,PAID,1521,F,San Jose,34.03
27770402968,9d11abf4130,24/1/2021,68414309,1,Betsy,14,21,1,1,2020,335.53,96,66,57,0.58,ONLINE,PAID,2899,A,Birmingham,15.53
32721098570,df42f676898,15/3/2021,68414512,1,Betsy,14,24,1,1,2020,233.96,128,228,242,0.7,ONLINE,PAID,1750,B,San Jose,56.96
33527624571,a8c98787fcb,31/5/2020,68414563,1,Betsy,14,24,1,1,2020,317.43,232,56,229,0.63,ONLINE,PAID,3922,C,Boston,56.43
34515106765,0d75d92f0a3,6/4/2021,68414907,1,Amazon,14,27,1,1,2020,334.57,283,48,238,0.56,ONLINE,PAID,3561,F,San Jose,22.57
35618757707,7f04a7f8e98,9/2/2021,68415103,1,Betsy,14,31,1,1,2020,289.59,171,32,69,0.65,ONLINE,PAID,3496,D,New York,52.59
35937895645,0d75d92f0a3,31/5/2020,68415140,1,Betsy,14,31,1,1,2020,287.14,47,251,111,1.09,ONLINE,PAID,1066,F,San Jose,57.14
36222167798,7f04a7f8e98,12/3/2021,68415344,1,Betsy,14,33,1,1,2020,214.32,287,116,166,0,VOUCHER,PAID,1435,A,Birmingham,44.32
36838974686,224f3b4cffd,8/2/2021,68415457,1,Amazon,14,34,1,1,2020,264.74,73,244,37,0.62,ONLINE,PAID,3134,B,San Jose,47.74
40211501383,e950ae3dc7b,24/3/2021,68415474,1,Betsy,14,34,1,1,2020,319.1,120,82,100,2.05,ONLINE,PAID,3819,C,Boston,12.1
40513117846,2c577ce5606,18/4/2021,68415543,1,Amazon,14,35,1,1,2020,221.63,193,143,260,0.96,ONLINE,PAID,2741,F,San Jose,17.63
46350262470,a327a261d9c,12/3/2021,68415947,1,Amazon,14,37,1,1,2020,219.42,64,77,207,5.87,ONLINE,PAID,3341,D,New York,42.42
47136199011,224f3b4cffd,21/5/2021,68416059,1,Betsy,14,38,1,1,2020,247.25,79,70,120,1.18,ONLINE,PAID,9516,F,San Jose,42.25
48485854842,e950ae3dc7b,31/1/2021,68416226,1,Amazon,14,40,1,1,2020,304.24,17,55,162,2.68,ONLINE,PAID,1811,A,Birmingham,19.24
48561439873,cca36c4777f,25/4/2021,68416227,1,Betsy,14,40,1,1,2020,301.42,241,155,120,1.28,ONLINE,PAID,1477,B,San Jose,53.42
